POS,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
1,Andrew Tye,14,14,56,448,24,5/17,18.66,8,14,3,0
2,Siddarth Kaul,17,17,66,547,21,4/29,26.04,8.28,18.85,0,0
3,Rashid Khan,17,17,68,458,21,3/19,21.8,6.73,19.42,0,0
4,Umesh Yadav,14,14,53,418,20,4/24,20.9,7.86,15.95,0,0
5,Hardik Pandya,13,13,42,381,18,3/20,21.16,8.92,14.22,0,0
6,Trent Boult,14,14,52,466,18,4/18,25.88,8.84,17.55,0,0
7,Jasprit Bumrah,14,14,54,372,17,4/14,21.88,6.88,19.05,0,0
8,Sunil Narine,16,16,61,467,17,5/19,27.47,7.65,21.52,0,0
9,Kuldeep Yadav,16,16,51,418,17,4/20,24.58,8.14,18.11,1,0
10,Shardul Thakur,13,13,46,431,16,3/19,26.93,9.23,17.5,0,0
11,Jofra Archer,10,10,39,325,15,3/15,21.66,8.36,15.53,0,0
12,Mayank Markande,14,14,44,368,15,4/23,24.53,8.36,17.6,1,0
13,Dwayne Bravo,16,16,53,533,14,4/22,38.07,9.96,22.92,0,0
14,Mitchell McClenaghan,11,11,40,332,14,4/21,23.71,8.3,17.14,0,0
15,Mujeeb Ur Rahman,11,11,41,289,14,3/27,20.64,6.99,17.71,0,0
16,Piyush Chawla,15,15,49,412,14,4/17,29.42,8.4,21,0,0
17,Shakib Al Hasan,17,17,57,456,14,3/17,32.57,8,24.42,0,0
18,Andre Russell,16,15,38,355,13,5/15,27.3,9.38,17.46,0,0
19,Sandeep Sharma,12,12,44,333,12,4/20,27.75,7.56,22,0,0
20,Krunal Pandya,14,13,40,284,12,3/14,23.66,7.07,20.08,0,0
21,Amit Mishra,10,10,37,264,12,5/17,22,7.13,18.5,0,0
22,Yuzvendra Chahal,14,14,50,363,12,4/25,30.25,7.26,25,0,0
23,Ankit Rajpoot,8,8,26,223,11,5/14,20.27,8.52,14.27,0,1
24,Mohammed Siraj,11,11,41,367,11,4/32,33.36,8.95,22.36,0,0
25,Lungi Ngidi,7,7,26,156,11,4/10,14.18,6,14.18,1,0
26,Krishnappa Gowtham,15,15,40,312,11,2/12,28.36,7.8,21.81,0,0
27,Ravindra Jadeja,16,14,41,303,11,5/16,27.54,7.39,22.36,0,0
28,Jaydev Unadkat,15,15,50,486,11,5/25,44.18,9.65,27.45,0,0
29,Shreyas Gopal,11,10,31,236,11,4/16,21.45,7.61,16.9,1,0
30,Deepak Chahar,12,12,38,278,10,4/13,27.8,7.28,22.9,0,0
31,Prasidh Krishna,7,7,28,260,10,4/30,26,9.28,16.8,1,0
32,Ravichandran Ashwin,14,14,50,410,10,4/34,41,8.09,30.4,0,0
33,Ben Laughlin,7,7,21,211,9,2/15,23.44,10.04,14,0,0
34,Bhuvneshwar Kumar,12,12,46,354,9,5/19,39.33,7.66,30.77,0,0
35,Chris Woakes,5,5,18,190,8,3/36,23.75,10.36,13.75,0,0
36,Ben Stokes,13,12,37,303,8,3/15,37.87,8.18,27.75,0,0
37,Harshal Patel,5,5,17,167,7,5/27,23.85,9.54,15,0,0
38,Mohit Sharma,9,9,29,322,7,4/14,46,10.85,25.42,0,0
39,Mustafizur Rahman,7,7,27,230,7,3/16,32.85,8.36,23.57,0,0
40,Harbhajan Singh,13,12,32,270,7,5/18,38.57,8.48,27.28,0,0
